sent_id	sentence	parse	sent_norm	parse_norm
023c0101	No, it wasn't Black Monday.	(S (INTJ (DT No)) (, ,) (NP (PRP it)) (VP (VBD was) (RB n't) (NP (NNP Black) (NNP Monday))) (. .))	no it was n't black monday	(ROOT (S (INTJ (DT no)) (NP (PRP it)) (VP (VBD was) (RB n't) (NP (NNP black) (NNP monday)))))
023c0103	Then in a lightning plunge, the Dow Jones industrials in barely an hour surrendered about a third of their gains this year, chalking up a 190.58-point, or 6.9%, loss on the day in gargantuan trading volume.	(S (ADVP (RB Then)) (PP (IN in) (NP (DT a) (JJ lightning) (NN plunge))) (, ,) (NP (DT the) (NNP Dow) (NNP Jones) (NNS industrials)) (PP (IN in) (NP (RB barely) (DT an) (NN hour))) (VP (VBD surrendered) (NP (NP (QP (IN about) (DT a) (JJ third))) (PP (IN of) (NP (PRP$ their) (NNS gains)))) (NP (DT this) (NN year)) (, ,) (S (VP (VBG chalking) (PRT (RP up)) (NP (DT a) (ADJP (JJ 190.58-point) (, ,) (CC or) (ADJP (CD 6.9) (NN %)) (, ,)) (NN loss)) (PP (IN on) (NP (DT the) (NN day))) (PP (IN in) (NP (JJ gargantuan) (NN trading) (NN volume)))))) (. .))	then in a lightning plunge the dow jones industrials in barely an hour surrendered about a third of their gains this year chalking up a 190.58-point or 6.9 % loss on the day in gargantuan trading volume	(ROOT (S (ADVP (RB then)) (PP (IN in) (NP (DT a) (JJ lightning) (NN plunge))) (NP (DT the) (NNP dow) (NNP jones) (NNS industrials)) (PP (IN in) (NP (RB barely) (DT an) (NN hour))) (VP (VBD surrendered) (NP (NP (QP (IN about) (DT a) (JJ third))) (PP (IN of) (NP (PRP$ their) (NNS gains)))) (NP (DT this) (NN year)) (S (VP (VBG chalking) (PRT (RP up)) (NP (DT a) (ADJP (JJ 190.58-point) (CC or) (ADJP (CD 6.9) (NN %))) (NN loss)) (PP (IN on) (NP (DT the) (NN day))) (PP (IN in) (NP (JJ gargantuan) (NN trading) (NN volume))))))))
023c0104	Traders said most of their major institutional investors, on the other hand, sat tight.	(S (NP (NNS Traders)) (VP (VBD said) (SBAR (S (NP (NP (JJS most)) (PP (IN of) (NP (PRP$ their) (JJ major) (JJ institutional) (NNS investors)))) (, ,) (PP (IN on) (NP (DT the) (JJ other) (NN hand))) (, ,) (VP (VBD sat) (ADJP (NN tight)))))) (. .))	traders said most of their major institutional investors on the other hand sat tight	(ROOT (S (NP (NNS traders)) (VP (VBD said) (SBAR (S (NP (NP (JJS most)) (PP (IN of) (NP (PRP$ their) (JJ major) (JJ institutional) (NNS investors)))) (PP (IN on) (NP (DT the) (JJ other) (NN hand))) (VP (VBD sat) (ADJP (NN tight))))))))
209c0101	Texaco and Pennzoil were pummeled in securities markets for pushing their ten point three billion dollars fight into bankruptcy court.	(S (NP (NNP Texaco) (CC and) (NNP Pennzoil)) (VP (VBD were) (VP (VBN pummeled) (PP (IN in) (NP (NNS securities) (NNS markets))) (PP (IN for) (S (VP (VBG pushing) (NP (PRP$ their) (ADJP (QP (NNS ten) (VBP point) (QP (CD three) (CD billion))) (NNS dollars)) (VBD fight)) (PP (IN into) (NP (NN bankruptcy) (NN court)))))))) (. .))	texaco and pennzoil were pummeled in securities markets for pushing their ten point three billion dollars fight into bankruptcy court	(ROOT (S (NP (NNP texaco) (CC and) (NNP pennzoil)) (VP (VBD were) (VP (VBN pummeled) (PP (IN in) (NP (NNS securities) (NNS markets))) (PP (IN for) (S (VP (VBG pushing) (NP (PRP$ their) (ADJP (QP (NNS ten) (VBP point) (QP (CD three) (CD billion))) (NNS dollars)) (VBD fight)) (PP (IN into) (NP (NN bankruptcy) (NN court))))))))))
209c0102	Both stocks plunged, and Texaco's domestic bonds fell in light trading.	(S (S (NP (DT Both) (NNS stocks)) (VP (VBD plunged))) (, ,) (CC and) (S (NP (NP (NNP Texaco) (POS 's)) (JJ domestic) (NNS bonds)) (VP (VBD fell) (PP (IN in) (NP (JJ light) (NN trading))))) (. .))	both stocks plunged and texaco 's domestic bonds fell in light trading	(ROOT (S (S (NP (DT both) (NNS stocks)) (VP (VBD plunged))) (CC and) (S (NP (NP (NNP texaco) (POS 's)) (JJ domestic) (NNS bonds)) (VP (VBD fell) (PP (IN in) (NP (JJ light) (NN trading)))))))
209c0103	Texaco, meanwhile, hopes to slash Pennzoil's claim.	(S (NP (NNP Texaco)) (, ,) (ADVP (RB meanwhile)) (, ,) (VP (VBZ hopes) (S (VP (TO to) (VP (VB slash) (NP (NP (NNP Pennzoil) (POS 's)) (NN claim)))))) (. .))	texaco meanwhile hopes to slash pennzoil 's claim	(ROOT (S (NP (NNP texaco)) (ADVP (RB meanwhile)) (VP (VBZ hopes) (S (VP (TO to) (VP (VB slash) (NP (NP (NNP pennzoil) (POS 's)) (NN claim))))))))
209c0104	Mr. Keating said most of Lincoln's increase in fourth-quarter net income can be attributed to the bank's growth in assets.	(S (NP (NNP Mr.) (NNP Keating)) (VP (VBD said) (SBAR (S (NP (NP (JJS most)) (PP (IN of) (NP (NP (NP (NNP Lincoln) (POS 's)) (NN increase)) (PP (IN in) (NP (JJ fourth-quarter) (JJ net) (NN income)))))) (VP (MD can) (VP (VB be) (VP (VBN attributed) (PP (TO to) (NP (NP (NP (DT the) (NN bank) (POS 's)) (NN growth)) (PP (IN in) (NP (NNS assets))))))))))) (. .))	mr. keating said most of lincoln 's increase in fourth-quarter net income can be attributed to the bank 's growth in assets	(ROOT (S (NP (NNP mr.) (NNP keating)) (VP (VBD said) (SBAR (S (NP (NP (JJS most)) (PP (IN of) (NP (NP (NP (NNP lincoln) (POS 's)) (NN increase)) (PP (IN in) (NP (JJ fourth-quarter) (JJ net) (NN income)))))) (VP (MD can) (VP (VB be) (VP (VBN attributed) (PP (TO to) (NP (NP (NP (DT the) (NN bank) (POS 's)) (NN growth)) (PP (IN in) (NP (NNS assets)))))))))))))
209c0105	At December thirty-first, assets were about three hundred million dollars, compared with two hundred forty-one point nine million dollars a year earlier.	(S (PP (IN At) (NP (NNP December) (JJ thirty-first))) (, ,) (NP (NNS assets)) (VP (VBD were) (NP (QP (IN about) (CD three) (CD hundred) (CD million)) (NNS dollars)) (, ,) (PP (VBN compared) (PP (IN with) (NP (NP (QP (QP (CD two) (VBD hundred)) (JJ forty-one) (NN point) (QP (CD nine) (CD million))) (NNS dollars)) (ADVP (NP (DT a) (NN year)) (RBR earlier)))))) (. .))	at december thirty-first assets were about three hundred million dollars compared with two hundred forty-one point nine million dollars a year earlier	(ROOT (S (PP (IN at) (NP (NNP december) (JJ thirty-first))) (NP (NNS assets)) (VP (VBD were) (NP (QP (IN about) (CD three) (CD hundred) (CD million)) (NNS dollars)) (PP (VBN compared) (PP (IN with) (NP (NP (QP (QP (CD two) (VBD hundred)) (JJ forty-one) (NN point) (QP (CD nine) (CD million))) (NNS dollars)) (ADVP (NP (DT a) (NN year)) (RBR earlier))))))))
209c0106	For the full year nineteen eighty-seven, average assets were two hundred thirty-two million dollars, compared with one hundred fifty-nine million dollars in nineteen eighty-six.	(S (PP (IN For) (NP (NP (DT the) (JJ full) (NN year)) (NP (JJ nineteen) (JJ eighty-seven)))) (, ,) (NP (JJ average) (NNS assets)) (VP (VBD were) (NP (QP (CD two) (VBN hundred) (JJ thirty-two) (CD million)) (NNS dollars)) (, ,) (PP (VBN compared) (PP (IN with) (NP (NP (QP (QP (CD one) (CD hundred)) (JJ fifty-nine) (CD million)) (NNS dollars)) (PP (IN in) (NP (JJ nineteen) (NN eighty-six))))))) (. .))	for the full year nineteen eighty-seven average assets were two hundred thirty-two million dollars compared with one hundred fifty-nine million dollars in nineteen eighty-six	(ROOT (S (PP (IN for) (NP (NP (DT the) (JJ full) (NN year)) (NP (JJ nineteen) (JJ eighty-seven)))) (NP (JJ average) (NNS assets)) (VP (VBD were) (NP (QP (CD two) (VBN hundred) (JJ thirty-two) (CD million)) (NNS dollars)) (PP (VBN compared) (PP (IN with) (NP (NP (QP (QP (CD one) (CD hundred)) (JJ fifty-nine) (CD million)) (NNS dollars)) (PP (IN in) (NP (JJ nineteen) (NN eighty-six)))))))))
209c0107	Crashes obviously are big news, and rightly so.	(S (S (NP (NNS Crashes)) (ADVP (RB obviously)) (VP (VBP are) (NP (JJ big) (NN news)))) (, ,) (CC and) (ADVP (RB rightly) (RB so)) (. .))	crashes obviously are big news and rightly so	(ROOT (S (S (NP (NNS crashes)) (ADVP (RB obviously)) (VP (VBP are) (NP (JJ big) (NN news)))) (CC and) (ADVP (RB rightly) (RB so))))
209c0108	In the past decade, U. S. air travel has nearly doubled, to more than four hundred fifty million passengers a year.	(S (PP (IN In) (NP (DT the) (JJ past) (NN decade))) (, ,) (NP (NNP U.) (NNP S.) (NN air) (NN travel)) (VP (VBZ has) (ADVP (RB nearly)) (VP (VBN doubled) (, ,) (PP (TO to) (NP (NP (QP (JJR more) (IN than) (CD four) (VBD hundred) (JJ fifty) (CD million)) (NNS passengers)) (NP (DT a) (NN year)))))) (. .))	in the past decade u. s. air travel has nearly doubled to more than four hundred fifty million passengers a year	(ROOT (S (PP (IN in) (NP (DT the) (JJ past) (NN decade))) (NP (NNP u.) (NNP s.) (NN air) (NN travel)) (VP (VBZ has) (ADVP (RB nearly)) (VP (VBN doubled) (PP (TO to) (NP (NP (QP (JJR more) (IN than) (CD four) (VBD hundred) (JJ fifty) (CD million)) (NNS passengers)) (NP (DT a) (NN year))))))))
209c0109	The public is interested in commercial aviation, particularly safety questions.	(S (NP (DT The) (NN public)) (VP (VBZ is) (ADJP (JJ interested) (PP (IN in) (NP (NP (JJ commercial) (NN aviation)) (, ,) (ADVP (RB particularly)) (NP (NN safety) (NNS questions)))))) (. .))	the public is interested in commercial aviation particularly safety questions	(ROOT (S (NP (DT the) (NN public)) (VP (VBZ is) (ADJP (JJ interested) (PP (IN in) (NP (NP (JJ commercial) (NN aviation)) (ADVP (RB particularly)) (NP (NN safety) (NNS questions))))))))
209c010a	Atlantic Research has already identified a possible site for a government-owned plant.	(S (NP (NNP Atlantic) (NNP Research)) (VP (VBZ has) (ADVP (RB already)) (VP (VBN identified) (NP (NP (DT a) (JJ possible) (NN site)) (PP (IN for) (NP (DT a) (JJ government-owned) (NN plant)))))) (. .))	atlantic research has already identified a possible site for a government-owned plant	(ROOT (S (NP (NNP atlantic) (NNP research)) (VP (VBZ has) (ADVP (RB already)) (VP (VBN identified) (NP (NP (DT a) (JJ possible) (NN site)) (PP (IN for) (NP (DT a) (JJ government-owned) (NN plant))))))))
209c010b	The site is in Mississippi, which happens to be the home state of two key members of Congressional appropriations committees.	(S (NP (DT The) (NN site)) (VP (VBZ is) (PP (IN in) (NP (NP (NNP Mississippi)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ happens) (S (VP (TO to) (VP (VB be) (NP (NP (DT the) (NN home) (NN state)) (PP (IN of) (NP (NP (CD two) (JJ key) (NNS members)) (PP (IN of) (NP (JJ Congressional) (NNS appropriations) (NNS committees))))))))))))))) (. .))	the site is in mississippi which happens to be the home state of two key members of congressional appropriations committees	(ROOT (S (NP (DT the) (NN site)) (VP (VBZ is) (PP (IN in) (NP (NP (NNP mississippi)) (SBAR (WHNP (WDT which)) (S (VP (VBZ happens) (S (VP (TO to) (VP (VB be) (NP (NP (DT the) (NN home) (NN state)) (PP (IN of) (NP (NP (CD two) (JJ key) (NNS members)) (PP (IN of) (NP (JJ congressional) (NNS appropriations) (NNS committees)))))))))))))))))
